MEMBER_NO,FLIGHT_COUNT
27355,2
4032,3
12913,3
58465,4
45414,3
1046,2
57432,2
58507,7
30271,5
3054,2
16348,3
62046,2
46545,6
60317,3
31513,3
46421,3
19464,3
44068,2
42040,3
39606,4
5791,3
47717,2
44147,3
2178,4
21657,4
6486,3
47856,2
10074,3
49336,3
24244,2
53101,2
62049,2
46859,2
48335,3
3642,3
4971,5
11272,4
16001,2
32874,2
52835,2
27218,2
45335,3
7593,3
44708,5
2643,2
28844,7
50800,3
6099,3
13104,5
50278,5
60561,3
14657,3
38221,2
55047,2
21793,4
62851,4
23682,4
49574,2
46214,2
37304,3
38555,2
46505,2
4985,5
39181,2
7957,3
3577,4
5789,3
56298,2
36113,4
57076,3
23392,3
61502,4
144,2
61235,2
45131,4
50513,2
56032,3
39860,2
7398,2
53828,3
44084,3
55521,8
4810,2
30173,4
37476,2
46605,2
55575,3
53467,2
62009,2
62054,2
40577,6
29150,2
57942,3
8600,2
21902,3
23658,3
26490,2
37382,2
3810,2
13037,2
9394,3
55064,2
61449,2
23101,2
53096,2
3659,5
12821,2
51790,4
13006,3
46383,4
26869,3
6998,3
20058,2
40138,5
12891,2
6430,3
19533,2
45754,2
40869,6
45998,2
18482,3
28567,5
29668,2
6489,3
55128,2
37936,3
24261,2
54049,2
5999,2
41351,3
4719,2
25032,4
26119,2
51693,4
2527,4
35337,2
25949,3
1387,2
37236,2
3833,3
7780,2
5942,2
61773,3
248,2
514,2
36092,3
10010,2
39092,2
45428,3
42166,2
46941,3
51893,3
10693,2
26616,2
52208,2
26393,3
36161,2
52560,2
37815,3
12998,2
62071,2
49354,3
27337,3
18193,4
34379,2
15831,2
42134,5
53166,3
18636,2
11168,3
37622,3
61542,3
51960,2
38998,2
7308,4
4804,2
30859,2
15058,4
27420,3
50235,2
3980,2
49785,2
54749,2
60102,2
39508,3
36464,2
58353,2
42577,4
1822,2
41611,3
2545,2
24698,3
57330,5
25260,2
18600,3
6455,2
34739,2
6945,3
47150,3
36473,3
18718,2
23798,2
61504,3
62349,2
49285,5
8967,4
28408,4
16685,2
54171,2
31651,2
20111,3
45628,3
61412,2
40185,3
57007,2
16136,2
43125,2
51373,2
52080,2
59676,2
34892,3
43436,4
33550,4
55078,2
6454,3
1622,2
45693,3
19037,2
6057,4
45433,3
54071,2
24825,2
62047,3
54577,2
308,4
14041,4
33476,2
39593,2
43533,2
37416,2
14821,2
54069,2
62265,2
26259,2
14153,2
